year,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,co2
1750,46.755,0.0,0.0,0.0,0.0,0.0,46.755
1751,46.755,0.0,0.0,0.0,0.0,0.0,46.755
1752,46.769999999999996,0.0,0.0,0.0,0.0,0.0,46.769999999999996
1753,46.769999999999996,0.0,0.0,0.0,0.0,0.0,46.769999999999996
1754,46.790000000000006,0.0,0.0,0.0,0.0,0.0,46.790000000000006
1755,46.81,0.0,0.0,0.0,0.0,0.0,46.81
1756,50.03,0.0,0.0,0.0,0.0,0.0,50.03
1757,50.05,0.0,0.0,0.0,0.0,0.0,50.05
1758,50.06999999999999,0.0,0.0,0.0,0.0,0.0,50.06999999999999
1759,50.084999999999994,0.0,0.0,0.0,0.0,0.0,50.084999999999994
1760,50.084999999999994,0.0,0.0,0.0,0.0,0.0,50.084999999999994
1761,54.870000000000005,0.0,0.0,0.0,0.0,0.0,54.870000000000005
1762,54.885000000000005,0.0,0.0,0.0,0.0,0.0,54.885000000000005
1763,54.905,0.0,0.0,0.0,0.0,0.0,54.905
1764,54.925,0.0,0.0,0.0,0.0,0.0,54.925
1765,54.94,0.0,0.0,0.0,0.0,0.0,54.94
1766,61.3,0.0,0.0,0.0,0.0,0.0,61.3
1767,61.315,0.0,0.0,0.0,0.0,0.0,61.315
1768,61.334999999999994,0.0,0.0,0.0,0.0,0.0,61.334999999999994
1769,61.355000000000004,0.0,0.0,0.0,0.0,0.0,61.355000000000004
1770,61.37,0.0,0.0,0.0,0.0,0.0,61.37
1771,68.06,0.0,0.0,0.0,0.0,0.0,68.06
1772,68.075,0.0,0.0,0.0,0.0,0.0,68.075
1773,68.095,0.0,0.0,0.0,0.0,0.0,68.095
1774,68.115,0.0,0.0,0.0,0.0,0.0,68.115
1775,68.13,0.0,0.0,0.0,0.0,0.0,68.13
1776,75.185,0.0,0.0,0.0,0.0,0.0,75.185
1777,75.205,0.0,0.0,0.0,0.0,0.0,75.205
1778,75.22,0.0,0.0,0.0,0.0,0.0,75.22
1779,75.24,0.0,0.0,0.0,0.0,0.0,75.24
1780,75.275,0.0,0.0,0.0,0.0,0.0,75.275
1781,84.215,0.0,0.0,0.0,0.0,0.0,84.215
1782,84.23500000000001,0.0,0.0,0.0,0.0,0.0,84.23500000000001
1783,84.27,0.0,0.0,0.0,0.0,0.0,84.27
1784,84.29,0.0,0.0,0.0,0.0,0.0,84.29
1785,84.341,0.0,0.0,0.0,0.0,0.0,84.341
1786,95.756,0.0,0.0,0.0,0.0,0.0,95.756
1787,95.791,0.0,0.0,0.0,0.0,0.0,95.791
1788,95.81099999999999,0.0,0.0,0.0,0.0,0.0,95.81099999999999
1789,95.846,0.0,0.0,0.0,0.0,0.0,95.846
1790,95.88499999999999,0.0,0.0,0.0,0.0,0.0,95.88499999999999
1791,107.096,0.0,0.0,0.0,0.0,0.0,107.096
1792,109.476,0.0,0.0,0.0,0.0,0.0,109.476
1793,109.57000000000001,0.0,0.0,0.0,0.0,0.0,109.57000000000001
1794,109.403,0.0,0.0,0.0,0.0,0.0,109.403
1795,109.46,0.0,0.0,0.0,0.0,0.0,109.46
1796,114.755,0.0,0.0,0.0,0.0,0.0,114.755
1797,120.47,0.0,0.0,0.0,0.0,0.0,120.47
1798,125.471,0.0,0.0,0.0,0.0,0.0,125.471
1799,132.14,0.0,0.0,0.0,0.0,0.0,132.14
1800,139.951,0.0,0.0,0.0,0.0,0.0,139.951
1801,139.262,0.0,0.0,0.0,0.0,0.0,139.262
1802,183.333,0.0,0.0,0.0,0.0,0.0,183.333
1803,156.845,0.0,0.0,0.0,0.0,0.0,156.845
1804,170.88,0.0,0.0,0.0,0.0,0.0,170.88
1805,166.413,0.0,0.0,0.0,0.0,0.0,166.413
1806,174.56,0.0,0.0,0.0,0.0,0.0,174.56
1807,183.61200000000002,0.0,0.0,0.0,0.0,0.0,183.61200000000002
1808,174.536,0.0,0.0,0.0,0.0,0.0,174.536
1809,174.641,0.0,0.0,0.0,0.0,0.0,174.641
1810,186.062,0.0,0.0,0.0,0.0,0.0,186.062
1811,197.01600000000002,0.0,0.0,0.0,0.0,0.0,197.01600000000002
1812,204.066,0.0,0.0,0.0,0.0,0.0,204.066
1813,205.055,0.0,0.0,0.0,0.0,0.0,205.055
1814,209.518,0.0,0.0,0.0,0.0,0.0,209.518
1815,216.23600000000002,0.0,0.0,0.0,0.0,0.0,216.23600000000002
1816,236.995,0.0,0.0,0.0,0.0,0.0,236.995
1817,245.715,0.0,0.0,0.0,0.0,0.0,245.715
1818,246.652,0.0,0.0,0.0,0.0,0.0,246.652
1819,248.212,0.0,0.0,0.0,0.0,0.0,248.212
1820,251.853,0.0,0.0,0.0,0.0,0.0,251.853
1821,255.517,0.0,0.0,0.0,0.0,0.0,255.517
1822,265.592,0.0,0.0,0.0,0.0,0.0,265.592
1823,280.945,0.0,0.0,0.0,0.0,0.0,280.945
1824,290.592,0.0,0.0,0.0,0.0,0.0,290.592
1825,301.507,0.0,0.0,0.0,0.0,0.0,301.507
1826,304.466,0.0,0.0,0.0,0.0,0.0,304.466
1827,326.677,0.0,0.0,0.0,0.0,0.0,326.677
1828,329.995,0.0,0.0,0.0,0.0,0.0,329.995
1829,328.381,0.0,0.0,0.0,0.0,0.0,328.381
1830,441.433,0.0,0.0,0.0,0.0,0.0,441.433
1831,418.105,0.0,0.0,0.0,0.0,0.0,418.105
1832,419.503,0.0,0.0,0.0,0.0,0.0,419.503
1833,426.972,0.0,0.0,0.0,0.0,0.0,426.972
1834,435.663,0.0,0.0,0.0,0.0,0.0,435.663
1835,443.595,0.0,0.0,0.0,0.0,0.0,443.595
1836,514.416,0.0,0.0,0.0,0.0,0.0,514.416
1837,512.844,0.0,0.0,0.0,0.0,0.0,512.844
1838,530.157,0.0,0.0,0.0,0.0,0.0,530.157
1839,547.025,0.0,0.0,0.0,0.0,0.0,547.025
1840,582.9010000000001,0.0,0.0,0.0,0.0,0.0,582.9010000000001
1841,600.667,0.0,0.0,0.0,0.0,0.0,600.667
1842,633.682,0.0,0.0,0.0,0.0,0.0,633.682
1843,648.735,0.0,0.0,0.0,0.0,0.0,648.735
1844,688.502,0.0,0.0,0.0,0.0,0.0,688.502
1845,753.643,0.0,0.0,0.0,0.0,0.0,753.643
1846,763.525,0.0,0.0,0.0,0.0,0.0,763.525
1847,831.8389999999999,0.0,0.0,0.0,0.0,0.0,831.8389999999999
1848,835.471,0.0,0.0,0.0,0.0,0.0,835.471
1849,881.068,0.0,0.0,0.0,0.0,0.0,881.068
1850,944.8240000000001,0.0,0.0,0.0,0.0,0.0,944.8240000000001
1851,944.689,0.0,0.0,0.0,0.0,0.0,944.689
1852,984.086,0.0,0.0,0.0,0.0,0.0,984.086
1853,1025.62,0.0,0.0,0.0,0.0,0.0,1025.62
1854,1209.253,0.0,0.0,0.0,0.0,0.0,1209.253
1855,1224.132,0.0,0.0,0.0,0.185,0.0,1224.315
1856,1306.004,0.0,0.0,0.0,0.2,0.0,1306.205
1857,1316.862,0.0,0.0,0.0,0.255,0.0,1317.119
1858,1336.133,0.0,0.0,0.0,0.311,0.0,1336.443
